"","Dataset","forestryRF","caretRidgeRF_nonstrict","caretRidgeTree","ranger","glmnet","cubist","local_RF","BART"
"1","artificial-LM-128",1.86557772227598,1.55066310868155,5.17337716616965,1.93409887640027,0.959819341437006,1.04533155571567,1.6498151294001,1.6265679630378
"2","artificial-LM-256",1.08007129356316,0.725666272331104,0.410672430321549,1.2223402620986,0.37061205701047,0.423893474341044,0.494135108637377,0.836964652099642
"3","artificial-LM-512",0.840615549685034,0.169679117172019,0.423326493289821,0.912949753105089,0.192595702274085,0.3577640895419,0.256534662968504,0.503879766538938
"4","artificial-LM-1024",0.546709080467477,0.0643635017029808,0.192762008893127,0.532307433778421,0.0800123926983367,0.06255303284448,0.0895736430244113,0.432491840168376
"5","artificial-LM-2048",0.387971585032448,0.0268529195798096,0.0526935419583285,0.374621851468428,0.0285946342821408,0.0171730741819374,0.0368288137901263,0.35925274422235
"6","simulated-Step-Function-128",1.04220522147792,1.13914958890332,2.58023767024536,1.02480238905624,1.46515216946361,1.36887248975897,1.17862360713359,0.869862963642089
"7","simulated-Step-Function-256",0.667327588459053,0.754410562775506,1.60896918762395,0.656114356280115,1.21889770530356,0.934958713959357,0.856633675568099,0.521171832738593
"8","simulated-Step-Function-512",0.603490342530139,0.636815986612347,1.31062516847294,0.596959786860245,1.19286751995876,0.853513812368643,0.716695348061302,0.452075320609799
"9","simulated-Step-Function-1024",0.512906626541754,0.547892821671899,0.949971088340879,0.50245712081565,1.17432252267302,0.632925024952358,0.627722520103638,0.365904397318563
"10","simulated-Step-Function-2048",0.424867627376757,0.401020380017961,0.895219702577746,0.409032835650838,1.1627949525433,0.528774898605971,0.519082113740547,0.304459633473835
"11","simulated-StepLinear-Function-128",1.39555303981526,0.694318682549186,1.96839455923129,1.40563662506469,1.26012139537246,1.29638442532701,1.36274682809103,1.42366182679623
"12","simulated-StepLinear-Function-256",1.07315195656296,0.405997116579402,0.764077492762805,1.0738480241375,1.03399052502352,0.992542917892976,0.801332063867069,1.15483312234623
"13","simulated-StepLinear-Function-512",0.849539464962458,0.322121421416247,0.427075268660522,0.841021021977994,1.01866749453697,0.489975507283988,0.563752180556443,0.717510603920913
"14","simulated-StepLinear-Function-1024",0.588368421237131,0.222936289852732,0.371918639158242,0.594183154725355,0.98938720451431,0.432835622295669,0.4468738720796,0.496467864278646
"15","simulated-StepLinear-Function-2048",0.43601086050591,0.186861799143335,0.290000237779793,0.440052755321036,0.956687074864041,0.27310910046472,0.342113593712149,0.295588658025498
